title,price,imageUrl,productLink
Air Jordan 1 Low Travis Scott Black Phantom DM7866-001 Fashion Shoes,$460.00 to $655.00,https://i.ebayimg.com/thumbs/images/g/6VMAAOSw6DFkKv~O/s-l300.jpg,https://www.ebay.com/itm/134517748496?hash=item1f51e1f310:g:6VMAAOSw6DFkKv~O&amdata=enc%3AAQAIAAAA4KdA6YWcWOU2yIfH5ZBD1%2Bevm%2Bbq2S0mnpjiHl9iHfbGXRGZRsdelJr4A%2FvJiwFDmCbMZZcPFQ7n7pQo8GE8NcUhNrqNhTBQk8OcfEjY42u3v4%2BV%2BfNmzevkJ5st%2BS545iy%2FD8wsL7bri0AIk1jolR%2FHSvv%2ByGFED2uSOdKMAeyVDXkiXfdVMXdarQSzfixvZwkYT3YHsP0M%2FFbz%2FNwY3ZWvIzV2m0T299vO1EGcFD%2F%2BqD8lmtNSpsYI0TAtWTWAAN6%2FT%2BTH1wwl4S0%2F%2Ff3lBr8TPEwOVKyYHO3AL1Co1XtG%7Ctkp%3ABk9SR8TjlbKYYg
NEW! Nike Air Jordan 1 Retro High OG Skyline DX0054-805 (Mens),$119.99 to $134.99,https://i.ebayimg.com/thumbs/images/g/EAcAAOSwQx9kZqfr/s-l300.jpg,https://www.ebay.com/itm/266228054526?epid=2328856014&hash=item3dfc6db9fe:g:EAcAAOSwQx9kZqfr&amdata=enc%3AAQAIAAAA4Cv%2BSt0hz2%2FHv56IYLnIVhc8WfRjodDoOXMsknwfCbl0dzif7mBMFvsGqSotrQp6Sa573eLKlldNV6muuuttzVjjJhhSR3rnKDzIuf%2Bk5VO%2F74VO8z1oP%2BS2b7xozNthcpTHvHMVt6KpbfGLwi0JiHxQFH5VpJI%2F7A5EzIt7ZdzxAdw2PVd1mzHkTfVnahStnyqfQUGdxHKi01Op7hqThuJ7FWzLZsDPFuLaE%2BcR177AMwgBDlQD7TVEsam766hx2F60j%2FrHAMoSoo8M54ZkVnQuOwe4gGTO4gXG79nnHMpu%7Ctkp%3ABk9SR8TjlbKYYg
Nike Air Jordan 3 III Retro Black Cement 2011 - Size 10 - 10.5 (Mismatch Size),$96.00,https://i.ebayimg.com/thumbs/images/g/IO0AAOSwXsZkhmg8/s-l300.jpg,https://www.ebay.com/itm/155603866327?epid=24039799098&hash=item243ab692d7:g:IO0AAOSwXsZkhmg8&amdata=enc%3AAQAIAAAA4I%2Fzfl9B9cr1WTVnE8MVjCmYKBIiyLiiOG7K8zfsELu%2FFJBlP9STPoEPOhbdBgVQn0n1%2FWi0Ms4ft9dhDIDqrcrBmeGPSmr5jQ97%2BSSl%2BHt31Le7MH%2BP9Xq4M7EufAWC0w0zg5my0dQ%2BxW9ABt09FFKrU7BnkWyTuw6CJCXI9X%2F863g9ZgqXRowCGelyBQGfovyOAVHA1QNdjybQaeqEZTCzlLA6I39LxdGOZz9xCSnhPoUJy8ROebjzvjQ9wOMSVvPv7PLc7Ev%2BLCc1Vj9DUv2RK%2Biq3rZVpPgAaPfXuzGT%7Ctkp%3ABk9SR8TjlbKYYg
DV1748-601 Spider-Man Nike Air Jordan 1 High OG SP Across the Spider-Verse Red,$234.00 to $648.00,https://i.ebayimg.com/thumbs/images/g/FxMAAOSwHL1kbh1e/s-l300.jpg,https://www.ebay.com/itm/256081866906?epid=16057802319&hash=item3b9fab309a:g:FxMAAOSwHL1kbh1e&amdata=enc%3AAQAIAAAA4I8X68BCl9dj7mEAshoScirSBiHJKGatEXjp8JMVJjUalLV%2FGWTb2OX6sOUhp5tEdgjr%2BUhk6GP%2B%2BmCnZkQI4exfsiy%2FeGhvfj872RzaYZUebvsKvrFYmX0bB4RaldRkN5WQXlnU9AtvMun85XO2GHFQogofQvLSB3GGTaBbo3Txu5qbE8b2EcK5Epbfs%2BdpFEjiG6ihpb%2BKdZx176MeAUOpnqIul8pjHLoRzMy9yMNO12%2F6dQtUpc8gTQiPW%2FzVBRtYhmTx6s2wn0MRHvpj5pnDp4fOb%2BQhTRYLjXDB4M9B%7Ctkp%3ABFBMxOOVsphi
Nike Jordan 6 Rings Black Gym Red Mens 8-14 322992-064 Authentic,$119.99,https://i.ebayimg.com/thumbs/images/g/OeIAAOSw0AZj0At4/s-l300.jpg,https://www.ebay.com/itm/354539916866?hash=item528c39ce42:g:OeIAAOSw0AZj0At4&amdata=enc%3AAQAIAAAA4PM9oO8Jp4k4FNUPsVNYExc56fz6d49n1j7WrkBh1KvomOqPNKd78fa0Y4KQPyLUNBIwttytQFK4mOkEbgg%2BRHqzmT9j66ZyKv0gr0MGmRimGmS2rY5nyDUobcs%2B%2Bn34O28YApgtoURhk0RV80SF4bGmPnjRgEqacGdNg9JcfLYD6DhOe6cSYmD%2BELD3AEOF5wd8QzZSDdMfuTBgZyB8xYZW05csZ5QH4xAPekSwWimlg0y33P%2BY9Q8QwJsT%2FyE%2FlQ39JkNcWCn3r18Ki3oPdU4vVD3qXPJtn1R5zL%2FcTZet%7Ctkp%3ABFBMxOOVsphi
"""NEW"" Nike Men's Air Jordan Access Basketball Sneakers Size 13 US",$59.95,https://i.ebayimg.com/thumbs/images/g/vaEAAOSwPBpkBLLn/s-l300.jpg,https://www.ebay.com/itm/155594883312?hash=item243a2d80f0:g:vaEAAOSwPBpkBLLn&amdata=enc%3AAQAIAAAA4BJaf92dSfvVWoRUPh2fh%2FSXP115I%2FsjsB3tVWU8NpxjbDdYXMhFrKpwlwE9TRC5SCHOcGgpFvNYQD3GgYlq5LHe7d%2FR4SvDbdLi7GBx5x5Bgip2O%2Bx%2BbUSyi2Bbh%2FoUrbXroqacC8jT6MnRtVdvXe1c53riXtvGS6b1IknF5qNVm5uDot1Qtr9goLjBfNmFd1DV2iJnYYcNYnySKTdnRZ7WteqZpnoT1quKZzgaF730bxPLCG3fnJtOd6Wv1IJXaw1n7J31hEZB%2BIvNexePWlVI875311uQZki2SSUxD8oZ%7Ctkp%3ABFBMxOOVsphi
Nike Air Jordan 1 High OG Spiderman NEXT CHAPTER DV1748-601 Men shoes,$276.89 to $359.89,https://i.ebayimg.com/thumbs/images/g/IjoAAOSwNyxkf0Lt/s-l300.jpg,https://www.ebay.com/itm/385659144050?epid=15057809707&hash=item59cb138772:g:IjoAAOSwNyxkf0Lt&amdata=enc%3AAQAIAAAAwDQ6adxtr6SgpiPsk6qzntleTi4gPISROSy0QoN%2FDBMNoGKdph%2F4ZAhqG1DGTllcStgHRaHrxCXT3dSlRWlOD0%2BASi%2FYYl7Bo26YQVkN6Prj8GCh3UX3SDX%2BlbCG4pPPVFSZ44MbFQmdUeK9sSdJ%2FpRzpI8Obpt%2Fwu2nIXaORQjUfEvnIA%2B7gdXE8CT1EJCffv447a6Z9w%2FFY0fgpQYmOyByKzEwX2215m0y3jGzwJ2PpE5uSBgGm6ez3d%2F0ceogRQ%3D%3D%7Ctkp%3ABk9SR8TjlbKYYg
Nike Air Jordan 1 Mid Obsidian Navy White Men AJ1 Casual Lifestyle 554724-174,$149.99,https://i.ebayimg.com/thumbs/images/g/7dQAAOSwPjVjt4zo/s-l300.jpg,https://www.ebay.com/itm/364100236710?epid=12039823035&hash=item54c610b5a6:g:7dQAAOSwPjVjt4zo&amdata=enc%3AAQAIAAAAwBH1eOP7Mly9nfIDNWPUtmlaieFgWeL6ZE4O%2BllmhuQ2ZPOvo3FxmnJGCGHOeX8BjiGX%2FxES2Wsj33nQg4q%2F3GRv78uzW8GLKaomPGaMfTI%2FOz6nYioD9tSY30zldpdQp5zqLgy2lQMKw2Bn%2BxQAIz3zKVQs1i1Jug7H1xlwnGnQfi71CYCl8QbboH1OWn0UTV0FoQKgrhoBjk8PI8bBvhP4EpiJR9JesTw9VUVtUC6vJQIvYPYdxIHAPhXkmSsWHg%3D%3D%7Ctkp%3ABk9SR8TjlbKYYg
Nike Air Jordan 1 Low White Toe Black Red 553558-063 Mens Size 9 - 13 Shoes #126,$94.97,https://i.ebayimg.com/thumbs/images/g/vWwAAOSwqhpkSJh9/s-l300.jpg,https://www.ebay.com/itm/295657634409?epid=23059146966&hash=item44d6917a69:g:vWwAAOSwqhpkSJh9&amdata=enc%3AAQAIAAAAwMsHaA2s4IraL000CPG3PudNeGLz8S2FHzPuS1mJnGrBK4RDpPHoX%2B8d709f4jj5bezzX%2FMJcxozZVljDG4mhtX%2FcjriYSaXqqFUtB9odrMXEVVAKotWRblWYv3RBDvH9NDL6wCRxBEG1%2BaECaduMFNUzXDuplOC7iuXKXpyGeXXFrpI1RGq6I38X0D53Fd2oLfEtTkKyDj%2FOV1sbbuP5I8kK7T2dRaCACq3eTq9WEA7ha7ENvmBbM0Mweq5DxgYjA%3D%3D%7Ctkp%3ABk9SR8bjlbKYYg
Nike Air Jordan 1 Retro Mid Black Fire Red Bred Toe White 554724-079 Men's,$129.99,https://i.ebayimg.com/thumbs/images/g/6b4AAOSwGrVjfT3r/s-l300.jpg,https://www.ebay.com/itm/304814545990?epid=12055035227&hash=item46f85cdc46:g:6b4AAOSwGrVjfT3r&amdata=enc%3AAQAIAAAAwEon4nqQQ2lC3G6%2Fz4N%2Fz2jhxIiJTuL8zcoqt74dl33ZOAidXBCtsdUv8v29dbWV%2FOoEBt8t6DHGtx%2B2AF1zLchWT5kWTwNCykRsQcafPlMmE8Np3%2BBHzxYNmA%2FMr9%2BrcR00wUQ2sTpJzunPoXlDIxoCFt%2BuX418oMDBYVpDMp46eoozH5lGiKm56C90bDEFtd9quKqpsMH3a8nCj3nExsQlZmuXQYjs1CtEilcwstpaEAHL6oVbDmTYOomJTb%2B4mg%3D%3D%7Ctkp%3ABk9SR8bjlbKYYg
